Anno,Athlete,count,Type
2000,Yumilka Ruiz Luaces,1,Gold
2004,Alexei Ramirez Rodriguez,1,Gold
2004,Amarilys Savon,1,Bronze
2004,Adiel Palma Lopez,1,Gold
2004,Ana Ibis Fernandez,1,Bronze
2004,Ariel Pestano,1,Gold
2004,Anier García,1,Bronze
2004,Anniara Muñoz,1,Bronze
2004,Antonio Scull Hernandez,1,Gold
2004,Carlos Alberto Tabares Padilla,1,Gold
2004,Daima Mayelis Beltrán,1,Bronze
2004,Danny Miranda Agramonte,1,Gold
2004,Dryulis Gonzalez,1,Bronze
2004,Eduardo Paret,1,Gold
2004,Danny Betancourt Chacon,1,Gold
2004,Eriel Sanchez Leon,1,Gold
2004,Daimi Ramirez Echevarria,1,Silver
2004,Dulce M. Tellez Palacio,1,Bronze
2004,Frank Andy Montieth Herrera,1,Gold
2004,Frederich Cepeda Cruz,1,Gold
2004,Guillermo Rigondeaux Ortiz,1,Gold
2004,Ibrahim Rojas Blanco,1,Silver
2004,Iván Fundora,1,Bronze
2004,Jonder Martinez Martinez,1,Gold
2004,Juan Miguel Rodríguez Martinez,1,Bronze
2004,Ledys Frank Balceiro,1,Silver
2004,Lorenzo Aragón,1,Silver
2004,Luis Borroto Jimenez,1,Gold
2004,Liana Mesa Luaces,1,Bronze
2004,Marta Sánchez,1,Bronze
2004,Manuel Alberto Vega Tamayo,1,Gold
2004,Mario Cesar Kindelan Mesa,1,Gold
2004,Maybelis Martínez,1,Bronze
2004,Michel López Nuñez,1,Bronze
2004,Michel Enriquez Tamayo,1,Gold
2004,Norberto Gonzalez Miranda,1,Gold
2004,Nancy Carrillo De la Paz,1,Bronze
2004,Odlanier Solis Fonte,1,Gold
2004,Osleidys Menéndez,1,Gold
2004,Pedro Luis Lazo Iglesias,1,Gold
2004,Osmanis Urrutia,1,Gold
2004,Roberto Monzón,1,Silver
2004,Roger Machado Morales,1,Gold
2004,Rosir Calderon,1,Bronze
2004,Vicyohandri Odelin Saname,1,Gold
2004,Yaima Ortiz Charro,1,Bronze
2004,Yan Barthelemi Varela,1,Gold
2004,Yandro Miguel Quintana,1,Gold
2004,Yanelis Yuliet Labrada Diaz,1,Silver
2004,Yipsi Moreno,1,Silver
2004,Yordanis Arencibia,1,Bronze
2004,Yorelvis Charles Martinez,1,Gold
2004,Yoandry Urgelles,1,Gold
2004,Yudel Johnson Cedeno,1,Silver
2004,Yumilka Ruiz Luaces,1,Bronze
2004,Yumileidi Cumbá,1,Gold
2004,Yunaika Crawford,1,Bronze
2004,Yulieski Gourriel Castillo,1,Gold
2004,Yuriorkis Gamboa Toledano,1,Gold
2004,Yurisel Laborde,1,Bronze
2004,Yurisleidys Lupetey,1,Bronze
2004,Zoila Barros Fernandez,1,Bronze
2008,Adiel Palma Lopez,1,Silver
2008,Alfredo Despainge,1,Silver
2008,Anaysi Hernandez,1,Silver
2008,Alexander Mayeta,1,Silver
2008,Andry Laffita,1,Silver
2008,Alexei Bell,1,Silver
2008,Ariel Pestano,1,Silver
2008,Carlos Banteaux Suarez,1,Silver
2008,Daynellis Montejo,1,Bronze
2008,Dayron Robles,1,Gold
2008,Disney Rodríguez,1,Bronze
2008,Eglys Cruz,1,Bronze
2008,Eriel Sanchez Leon,1,Silver
2008,Emilio Correa Bayeaux,1,Silver
2008,Frederich Cepeda Cruz,1,Silver
2008,Eduardo Paret,1,Silver
2008,Elier Sanchez,1,Silver
2008,Giorbis Duvergel,1,Silver
2008,Héctor Olivera,1,Silver
2008,Ibrahim Camejo,1,Bronze
2008,Idalys Ortiz,1,Bronze
2008,Jadier Valladares,1,Bronze
2008,Jonder Martinez Martinez,1,Silver
2008,Leonel Suárez,1,Bronze
2008,Luis Miguel Navas Gonzales,1,Silver
2008,Luis Miguel Rodriguez,1,Silver
2008,Miguel La Hera,1,Silver
2008,Michel Batista,1,Bronze
2008,Mijaín López Nuñes,1,Gold
2008,Michel Enriquez Tamayo,1,Silver
2008,Misleydis González,1,Silver
2008,Norge Luis Vera Peralta,1,Silver
2008,Norberto Gonzalez Miranda,1,Silver
2008,Osmay Acosta,1,Bronze
2008,Pedro Luis Lazo Iglesias,1,Silver
2008,Oscar Bryason,1,Bronze
2008,Rolando Medino,1,Silver
2008,Roniel Iglesias,1,Bronze
2008,Vicyohandri Odelin Saname,1,Silver
2008,Yadier Pedroso,1,Silver
2008,Yalennis Castillo,1,Silver
2008,Yampier Hernandez G,1,Bronze
2008,Yanet Bermoy Acosta,1,Silver
2008,Yankiel Leon Alarcon,1,Silver
2008,Yargelis Savigne,1,Bronze
2008,Yipsi Moreno,1,Gold
2008,Yoanka Gonzalez Perez,1,Silver
2008,Yohandris Hernández,1,Bronze
2008,Yordanis Arencibia,1,Bronze
2008,Yordanis Borrero,1,Bronze
2008,Yoandry Urgelles,1,Silver
2008,Yordenis Ugás,1,Bronze
2008,Yulieski Gourriel Castillo,1,Silver
,,,
2012,Asley González,1,Silver
2012,Idalys Ortiz,1,Gold
2012,Iván Cambar Rodriguez,1,Bronze
2012,Leonel Suárez,1,Bronze
2012,Leuris Pupo,1,Gold
2012,Liván López Azcuy,1,Bronze
2012,Lazaro Alvarez Estrada,1,Bronze
2012,Mijaín López Nuñes,1,Gold
2012,Robeisy Ramirez Carrazana,1,Gold
2012,Robelis Despaigne,1,Bronze
2012,Roniel Iglesias,1,Gold
2012,Yanet Bermoy Acosta,1,Silver
2012,Yarelis Barrios,1,Bronze
2012,Yarisley Silva,1,Silver
2012,Yasniel Toledo,1,Bronze
2016,Arlen López,1,Gold
2016,Denia Caballero,1,Bronze
2016,Erislandy Savón,1,Bronze
2016,Idalys Ortiz,1,Silver
2016,Ismael Borrero,1,Gold
2016,Joahnys Argilagos,1,Bronze
2016,Julio La Cruz Peraza,1,Gold
2016,Lazaro Alvarez Estrada,1,Bronze
2016,Mijaín López Nuñes,1,Gold
2016,Robeisy Ramirez Carrazana,1,Gold
2016,Yasmany Daniel Lugo Cabrera,1,Silver
2020,Andy Cruz,1,Gold
2020,Arlen López,1,Gold
2020,Yaimé Pérez,1,Bronze
2020,Idalys Ortiz,1,Silver
2020,Juan Miguel Echevarria,1,Silver
2020,Julio La Cruz Peraza,1,Gold
2020,Leuris Pupo,1,Silver
2020,Luis Alberto Orta Sanchez,1,Gold
2020,Lazaro Alvarez Estrada,1,Bronze
2020,Maykel Masso,1,Bronze
2020,Mijaín López Nuñes,1,Gold
2020,Rafael Alba Castillo,1,Bronze
2020,Reineris Salas Perez,1,Bronze
2020,Roniel Iglesias,1,Gold
1900,Ramón Fonst,1,Gold
1992,Juan Carlos Perez Rondon,1,Gold
1992,Idalmis Gato,1,Gold
1992,Raul Gonzalez Sanchez,1,Silver
1996,Ana Ibis Fernandez,1,Gold
1996,raisa o'farrill,1,Gold
1996,Regla Torres ,1,Gold
1996,Omar Luis,1,Gold
1996,Oscar Garcia Perez,1,Bronze
2000,Rolando Merino,1,Silver
2000,Luis Ulacia,1,Silver
2004,Norge Luis Vera Peralta,1,Gold
2020,Serguey Torres,1,Gold
2020,Fernando Dayan Jorge Enriquez,1,Gold
